Analysis,Variable_1,Variable_2,rho,p,p_fdr,significant_fdr
fMRI-behavior,preSMA,accuracy,0.40777230432402845,0.031242579129412945,0.29691928036091325,False
fMRI-behavior,preSMA,RT,0.3957307060755336,0.037114910045114156,0.29691928036091325,False
EEG-fMRI,P3_diff,preSMA,0.36398467432950193,0.05689516362186157,0.30344087264992836,False
EEG-behavior,P3_diff,RT,0.21018062397372742,0.2830407732184888,0.8051586190473338,False
EEG-fMRI,N2_diff,ACC,0.17624521072796934,0.369647392965767,0.8051586190473338,False
EEG-behavior,P3_diff,accuracy,0.1685823754789272,0.39114364427245885,0.8051586190473338,False
EEG-fMRI,N2_diff,preSMA,-0.150519978106185,0.44454837617623955,0.8051586190473338,False
fMRI-behavior,ACC,RT,-0.14559386973180075,0.45976219893389403,0.8051586190473338,False
fMRI-behavior,IFG,accuracy,-0.1319102353585112,0.5034232998343338,0.8051586190473338,False
EEG-fMRI,P3_diff,ACC,0.10727969348659004,0.586880792031939,0.8051586190473338,False
EEG-fMRI,N2_diff,IFG,-0.09469074986316366,0.6317312844709178,0.8051586190473338,False
EEG-fMRI,P3_diff,IFG,-0.08593322386425835,0.6637147036612618,0.8051586190473338,False
EEG-behavior,N2_diff,accuracy,-0.0755336617405583,0.7024535849077524,0.8051586190473338,False
fMRI-behavior,IFG,RT,-0.07498631636562669,0.704513791666417,0.8051586190473338,False
fMRI-behavior,ACC,accuracy,-0.03776683087027915,0.8486824860631973,0.9031813149903167,False
EEG-behavior,N2_diff,RT,-0.0240831964969896,0.9031813149903167,0.9031813149903167,False
